temp_model,n_temp_feats,geom_model,n_geom_feats,results_dir,experiment_description
PCA,12,PCA,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_12_components_on_pca_12_components,
PCA,12,PCA,16,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_12_components_on_pca_16_components,
PCA,12,PCA,24,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_12_components_on_pca_24_components,
PCA,12,PCA,50,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_12_components_on_pca_50_components,
PCA,16,PCA,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_12_components_on_pca_16_components,
PCA,16,PCA,16,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_16_components_on_pca_16_components,
PCA,16,PCA,24,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_16_components_on_pca_24_components,
PCA,16,PCA,50,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_16_components_on_pca_50_components,
PCA,24,PCA,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_24_components_on_pca_12_components,
PCA,24,PCA,16,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_24_components_on_pca_16_components,
PCA,24,PCA,24,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_24_components_on_pca_24_components,
PCA,24,PCA,50,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_24_components_on_pca_50_components,
PCA,50,PCA,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_pca_12_components,
PCA,50,PCA,16,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_pca_16_components,
PCA,50,PCA,24,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_pca_24_components,
PCA,50,PCA,50,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_pca_50_components,
PCA,12,GDL,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_12_components_on_gdl_12_components,
PCA,12,GDL,16,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_12_components_on_gdl_16_components,
PCA,12,GDL,24,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_12_components_on_gdl_24_components,
PCA,12,GDL,50,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_12_components_on_gdl_50_components,
PCA,16,GDL,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_16_components_on_gdl_12_components,
PCA,16,GDL,16,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_16_components_on_gdl_16_components,
PCA,16,GDL,24,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_16_components_on_gdl_24_components,
PCA,16,GDL,50,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_16_components_on_gdl_50_components,
PCA,24,GDL,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_24_components_on_gdl_12_components,
PCA,24,GDL,16,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_24_components_on_gdl_16_components,
PCA,24,GDL,24,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_24_components_on_gdl_24_components,
PCA,24,GDL,50,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_24_components_on_gdl_50_components,
PCA,50,GDL,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_gdl_12_components,
PCA,50,GDL,16,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_gdl_16_components,
PCA,50,GDL,24,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_gdl_24_components,
PCA,50,GDL,50,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_gdl_50_components,
